X,Y
0.113400949,160.5238665
0.347813668,160.7544738
0.012469538,160.9283806
0.012469538,160.9808951
0.012469538,161.0231351
0.074585858,161.060428
0.012469538,161.0977209
0.012469538,161.1391998
0.012469538,161.1841035
0.048709134,161.2084581
0.012469538,161.2328127
0.012469538,161.2799996
0.012469538,161.3298504
0.058603177,161.359152
0.012469538,161.3884536
0.012469538,161.42118
0.012469538,161.4607562
0.061266957,161.4913897
0.012469538,161.5220232
0.012469538,161.5478999
0.012469538,161.5829096
0.066213984,161.6160166
0.012469538,161.6491236
0.012469538,162.0892182
0.012469538,162.5943852
0.128622552,162.6586965
0.1194896,162.7827525
0.199403018,162.9421989
0.012469538,163.0419004
0.012469538,163.3288276
0.012469538,163.6283127
0.101984738,163.679305
0.093612877,163.7771039
0.156021445,163.901921
0.135472282,164.0476679
0.107312311,164.1690602
0.093612864,164.2695228
0.139658218,164.3861583
0.012469538,164.4559874
0.012469538,165.1441942
0.012469538,165.846481
0.23555433,165.9642581
0.122533913,166.1433023
0.109595558,166.259367
0.097037723,166.3626836
0.093612877,166.4580089
0.086002057,166.5478164
0.04223995,166.6119374
0.070019388,166.6680671
0.050992369,166.7285729
0.083718822,166.7959285
0.0597448,166.8676604
0.088665849,166.9418657
0.012469538,166.9861986
0.012469538,168.0155596
,
,
,
0.012469538,170.862951
0.012469538,170.9852946
0.143083089,171.0568362
0.060125333,171.1584404
0.068497219,171.2227516
0.04223995,171.2781202
0.058983722,171.3287321
0.053275616,171.3848617
0.037292935,171.430146
0.094754488,171.4961697
0.012469538,171.543547
0.012469538,171.7562689
0.012469538,171.966327
0.122153368,172.0274037
0.218430025,172.1976954
0.149552261,172.3816865
0.427727086,172.6703262
0.122153381,172.9452665
0.073444234,173.0430653
0.043762119,173.1016684
0.039956715,173.1435279
0.16096846,173.2439904
0.154499288,173.4017243
0.096276645,173.5271123
0.060886424,173.6056938
0.052514525,173.6623943
0.065833439,173.7215683
0.112259338,173.8106147
0.053656149,173.8935724
0.127100408,173.9839507
0.109595545,174.1022987
0.086382602,174.2002877
0.158304692,174.3226314
0.03957617,174.4215718
0.04756751,174.4651437
0.042620495,174.5102377
0.012469538,174.5315479
0.012469538,174.584443
0.012469538,174.6339132
0.436479517,174.8521529
0.012469538,175.0703927
0.012469538,175.993583
,
,
,
0.07648856,184.5650587
0.10464853,184.6556273
0.139277685,184.7775904
0.056319929,184.8753892
0.030062673,184.9185805
0.057461553,184.9623426
0.085621524,185.0338841
0.074966403,185.1141781
0.067736141,185.1855294
0.052133993,185.2454644
0.095896112,185.3194795
0.068877764,185.4018664
0.037292923,185.4549518
0.075727481,185.511462
0.041478872,185.5700651
0.012469538,185.5908046
0.012469538,186.0308992
0.012469538,186.4862155
0.070780454,186.5216057
0.073444246,186.593718
0.081055042,186.6709677
0.086002069,186.7544962
0.057842098,186.8264183
0.089807461,186.9002431
0.073444246,186.981869
0.049470212,187.0433262
0.067355595,187.1017391
0.037673468,187.1542536
0.012469538,187.1730904
0.012469538,187.3020935
0.012469538,187.3713517
0.044903743,187.3938036
0.054797773,187.4436544
0.012469538,187.4710533
0.012469538,187.5734186
0.012469538,187.6544736
0.109595545,187.7092714
0.031204296,187.7796713
0.02739888,187.8089729
0.054797773,187.8500712
0.046425899,187.900683
0.088285304,187.9680386
0.067355595,188.0458591
0.094754488,188.1269141
0.078771807,188.2136773
0.055939396,188.2810329
0.012469538,188.3090026
0.012469538,188.388916
0.012469538,188.4737765
0.088285304,188.5179191
0.012469538,188.5620618
0.012469538,188.6518692
0.012469538,188.7454821
0.079913418,188.7854388
0.068497231,188.8596441
0.012469538,188.8938927
0.012469538,189.3745149
0.012469538,189.8551371
0.058983722,189.8846289
0.053275604,189.9407586
0.012469538,189.9673964
0.012469538,190.1757421
0.012469538,190.3452727
0.043762107,190.3671538
0.012469538,190.3890348
0.012469538,190.4742758
0.012469538,190.5762606
0.03234592,190.5924335
0.06697505,190.642094
0.038815092,190.6949891
0.050992381,190.7398928
0.042620495,190.7866992
0.012469538,190.8080095
0.012469538,190.8995294
0.012469538,190.9948547
0.072302623,191.031006
0.053656162,191.0939854
0.012469538,191.1208135
0.012469538,191.2680825
0.012469538,191.4225818
0.041098339,191.4431309
0.050992369,191.4891763
0.052514538,191.5409297
0.022451865,191.5784129
0.092471241,191.6358745
0.033487531,191.6988539
0.015221603,191.7232084
0.097037735,191.7793381
0.0597448,191.8577294
0.059744788,191.9174742
0.070399921,191.9825465
0.0597448,192.0476189
0.063550204,192.1092664
0.057081008,192.169582
0.012469538,192.1981225
0.012469538,192.5910302
0.012469538,192.9926903
0.090949084,193.0381648
0.082196665,193.1247377
