OBJECTID,SHAPE_Length,MapUnit,y_midpoint,x_start,x_end,x_mid,y_start,y_end
637,0.53309088,2,-1.293457031,-4.287414551,-4.26739502,-4.277404785,-1.027099609,-1.559814453
2735,0.533781866,2,,-1.764404297,-1.754577637,-1.759490967,-6.86920166,-7.402893066
2709,0.553589624,2,,-2.208679199,-2.209594727,-2.209136963,-0.271118164,-0.824707031
1256,0.609686518,2,-1.381774902,-2.259277344,-2.274475098,-2.266876221,-1.077026367,-1.686523438
2714,0.626894018,2,,-5.174621582,-5.144287109,-5.159454346,-1.150024414,-1.776184082
625,0.632895582,2,-2.849243164,-0.535095215,-0.518981934,-0.527038574,-2.532897949,-3.165588379
2736,0.700996319,2,,-1.82989502,-1.852783203,-1.841339111,-6.004882813,-6.705505371
2739,0.709721209,2,,-4.246887207,-4.244384766,-4.245635986,-0.021606445,-0.731323242
630,0.712901327,2,-1.143249512,-0.158508301,-0.154602051,-0.156555176,-0.786804199,-1.499694824
600,0.752713743,2,-4.486602783,-3.556213379,-3.533813477,-3.545013428,-4.110412598,-4.862792969
1416,0.786193848,2,-4.883880615,0.915283203,0.915283203,0.915283203,-4.490783691,-5.276977539
2727,0.803451897,2,,-0.579406738,-0.56628418,-0.572845459,-4.311584473,-5.114929199
618,0.812876497,2,-2.95135498,-2.61340332,-2.617492676,-2.615447998,-2.544921875,-3.357788086
638,0.816543205,2,-1.834106445,-4.43157959,-4.50769043,-4.46963501,-1.427612305,-2.240600586
626,0.845122008,2,-2.542907715,0.217895508,0.233886719,0.225891113,-2.120422363,-2.965393066
636,0.86680698,2,-1.371582031,-4.099182129,-4.04309082,-4.071136475,-0.939086914,-1.804077148
2704,0.872131561,2,,-3.143615723,-3.143005371,-3.143310547,-1.101379395,-1.973510742
2733,0.903792902,2,,-2.543212891,-2.56060791,-2.5519104,-3.37878418,-4.282409668
2703,0.972490266,2,,-0.860900879,-0.87322998,-0.86706543,-1.179382324,-2.151794434
629,1.037179073,2,-1.293457031,-1.56817627,-1.580200195,-1.574188232,-0.774902344,-1.812011719
607,1.037415736,2,-4.328948975,2.084106445,2.100097656,2.092102051,-3.810302734,-4.847595215
2737,1.040618636,2,,-6.310302734,-6.219177246,-6.26473999,-6.411987305,-7.448608398
2741,1.061076152,2,,-0.416320801,-0.440917969,-0.428619385,0.382080078,-0.678710938
2728,1.070306576,2,,1.782287598,1.821716309,1.802001953,-3.752807617,-4.822387695
2738,1.108280545,2,,-6.822509766,-6.537414551,-6.679962158,-6.935791016,-8.006774902
2719,1.209236772,2,,-4.794311523,-4.989624023,-4.891967773,-1.133422852,-2.326782227
633,1.249415233,2,-1.691894531,-2.457275391,-2.449279785,-2.453277588,-1.067199707,-2.316589355
605,1.325796512,2,-4.477142334,0.802490234,0.774475098,0.788482666,-3.81439209,-5.139892578
599,1.529790993,2,-4.913673752,-4.286193848,-4.337890625,-4.312042236,-5.676086426,-4.148803711
820,1.578939041,2,-4.497573669,-1.844726563,-1.896789551,-1.870758057,-3.710205078,-5.286376953
2732,1.743278788,2,,-0.137817383,-0.207580566,-0.172698975,-3.186706543,-4.928588867
1830,1.826150828,2,0.841644287,-3.200805664,-3.212890625,-3.206848145,1.754699707,-0.071411133
2706,2.028302538,2,,-3.606018066,-3.626586914,-3.61630249,-0.06829834,-2.096496582
