bed_center_elev,bed_thickness
158.4437465,0.032148872
158.4795008,0.03935983
158.517133,0.035904579
158.5537887,0.037406864
158.6012609,0.057537468
158.6603007,0.060542033
158.7213685,0.061593631
158.7716199,0.038909144
158.8250261,0.067903226
158.8889482,0.059941116
158.9492649,0.060692263
158.9796111,0.004922683
159.0801889,0.004922683
159.2217792,0.004922683
159.2439379,0.044317366
159.3062075,0.08022195
159.3756606,0.058684177
159.4320713,0.054137326
159.4758154,0.033350701
159.5148747,0.044768052
159.5648257,0.05513381
159.6252175,0.065649799
159.6975524,0.079020121
159.7649298,0.055734722
159.8174347,0.049274907
159.8590479,0.033951613
159.8966801,0.041312801
159.9404717,0.046270337
159.982761,0.038308232
160.0176891,0.03154796
160.053143,0.03935983
160.0841651,0.022684482
160.1120325,0.033050245
160.1450827,0.03305024
160.1856444,0.048073078
160.2304124,0.041463027
160.2747298,0.04717171
160.3145403,0.032449328
160.3795141,0.09749821
160.4403566,0.024186767
160.4657452,0.02659042
160.4923356,0.026590425
160.5265126,0.041763483
160.564971,0.035153442
160.5947914,0.024487223
160.6203302,0.02659042
160.6564601,0.045669425
160.69259,0.02659042
160.7167768,0.021783114
160.7424658,0.029594989
160.7714599,0.02839316
160.7937688,0.016224667
160.816228,0.028693616
160.8421424,0.023135169
160.8632494,0.019079006
160.8819529,0.018327858
160.9019333,0.021632884
160.9237915,0.02208357
160.9621748,0.054683129
160.9995817,0.020130599
161.0153557,0.011417356
161.0448755,0.047622391
161.0790525,0.020731516
161.0990329,0.019229231
161.1189381,0.020581285
161.1383927,0.018327863
161.1568708,0.018628319
161.1750484,0.017726946
161.1957799,0.023736081
161.216211,0.017126034
161.2349144,0.020280829
161.2554206,0.020731516
161.2753259,0.019079001
161.2922266,0.014722382
161.3084512,0.017726946
161.3264786,0.018327863
161.3541206,0.036956178
161.3801853,0.015173063
161.4012923,0.027041106
161.4221741,0.014722382
161.453722,0.048373534
161.4869976,0.018177633
161.5079545,0.023736085
161.5343196,0.028994072
161.5606095,0.023585855
161.5923077,0.039810517
161.612213,0.004922683
161.6777125,0.004922683
161.749071,0.004922683
161.7574087,0.016675348
161.797745,0.063997284
161.8482969,0.037106408
161.8948677,0.056035183
161.9344528,0.023135169
161.955635,0.019229231
161.9735873,0.016675348
161.9907885,0.017726946
162.0088159,0.018327863
162.0284958,0.021031972
162.0496029,0.021182197
162.0732638,0.026139738
162.0942207,0.015773975
162.1089431,0.013670783
162.1234401,0.015323294
162.1379372,0.013670783
162.1516831,0.013821009
162.1679828,0.018778545
162.202986,0.051227873
162.2349096,0.012619185
162.2501577,0.017877172
162.2657064,0.013220097
162.2809546,0.017276265
162.2967285,0.014271695
162.313479,0.019229231
162.3390929,0.031998642
162.400311,0.090437478
162.4551444,0.019229231
162.4743736,0.019229231
162.5083252,0.04867399
162.5639848,0.062645229
162.638423,0.086231084
162.8803657,0.397654489
163.1948688,0.231351691
163.3516321,0.082174916
163.4343329,0.083226515
163.5717167,0.191541169
163.7610044,0.18703432
163.9246783,0.140313296
164.0607852,0.131900509
164.2864282,0.319385511
164.5195075,0.146773117
164.631052,0.076316008
164.8065939,0.274767689
164.964559,0.041162571
165.0390723,0.107863968
165.1382981,0.090587708
