FID,Id,width,Distance,Elevation
217,0,9.1781397,1724,208.861632813999990
218,0,5.0219302,1877,228.533626751000010
219,0,6.9351802,1987,241.009722920999990
220,0,1.0887400,1997,242.128427832000000
221,0,5.1182098,1968,242.573147779000010
222,0,3.9138200,1990,241.333131736000010
223,0,1.7615600,1995,240.785296727000000
224,0,5.4997802,2059,240.442744420999990
225,0,3.5229101,2066,244.120921705000000
226,0,4.7013302,2074,240.714856838999990
227,0,6.4814000,2099,241.048246406000000
228,0,4.4942999,2116,247.259501242000000
229,0,2.8254700,2120,244.623088967000000
230,0,2.9353600,2193,249.581717470999990
231,0,2.8512299,2199,251.698114463000000
232,0,1.8895100,2205,250.397875760999990
233,0,1.0522400,2210,252.091615692000000
234,0,0.9688080,2218,253.261022348000010
235,0,0.8862440,2226,255.935338201000010
236,0,1.6161200,2238,255.442348802000000
237,0,3.3207901,2289,256.489225287000010
238,0,8.2964201,2331,257.236238445000030
239,0,5.4406600,2485,258.216981965000000
240,0,5.2564602,2491,258.267119713999990
241,0,4.9168000,2500,258.197848823000020
242,0,4.2262502,2504,258.218023857999980
243,0,1.5225600,2507,258.230069456000020
244,0,2.2349801,2510,258.154569496000020
245,0,2.3607500,2512,258.356101683000020
246,0,3.5699501,2520,258.842535156999990
247,0,4.1851001,2479,258.110603673000010
248,0,4.7770901,2472,257.996238829999980
249,0,5.2142901,2546,259.103312512000000
250,0,7.6596298,2556,259.161839788000010
251,0,6.4402499,2559,259.166419379999980
252,0,4.3419499,2563,259.143346156000010
253,0,2.9885299,2565,259.134080915000030
254,0,2.4148901,2569,259.281815112999990
255,0,4.7631698,2575,259.372503929999990
256,0,2.9977901,2577,259.358761225000020
257,0,7.7973099,2584,259.449063841999990
258,0,8.3053703,2592,259.460818585000030
259,0,3.8920400,2527,258.950895589000030
260,0,9.4719696,2601,259.592041978000000
261,0,10.6504002,2607,259.684017649000000
262,0,9.5587797,2612,259.764255994000000
263,0,7.3981900,2617,259.745004779999990
264,0,7.9276700,2621,259.735218981999990
265,0,7.5093598,2626,259.696786809999990
266,0,7.0673399,2628,259.664033696999980
